"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","3.3uF","","","","Capacitor_THT:C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3","~"
"C3,C4,C11","3","1uF","","","","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"C5","1",".1uF","","","","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C6,C7,C10","3","22pF","","","","customlib:C0805","~"
"C8,C9","2",".033uF","","","","Capacitor_THT:C_Rect_L7.2mm_W8.5mm_P5.00mm_FKP2_FKP2_MKS2_MKP2","~"
"C12","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C13","1","10u, 50V","","","","customlib:C1210","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf"
"C14,C15","2","1000p, 2kV","","","","customlib:C1206","https://content.kemet.com/datasheets/KEM_C1010_X7R_HV_SMD.pdf"
"C16,C17,C18,C19,C22,C23,C24,C25,C26,C27,C28,C29","12",".1uF","","","","customlib:C0805","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf"
"C20,C21","2","100u, 25V","","","","customlib:CAPPRD250W55D630H1350","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5731/RES%20Series.pdf"
"D1,D2","2","LFO F","","Excluded from BOM","Excluded from board","","~"
"D3","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D4,D5","2","LED","DNP","","Excluded from board","LED_THT:LED_D3.0mm_Clear","~"
"D6","1","CPDT-24V","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV70_SER.pdf"
"D7","1","BAV99","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf"
"H1,H2","2","7837","","","","7837","https://www.keyelco.com/product-pdf.cfm?p=14494"
"J1","1","Left","","","","HLW16R2C7LF","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/hlw01lf.pdf"
"J2","1","Right","","","","HLW16R2C7LF","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/hlw01lf.pdf"
"J3","1","EXT IN","","","","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HFD2_Horizontal","https://www.neutrik.com/en/product/nmj4hfd2"
"J4","1","OUTPUT","","","","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HFD2_Horizontal","https://www.neutrik.com/en/product/nmj4hfd2"
"J5","1","Left","DNP","","Excluded from board","","~"
"J6","1","Right","DNP","","Excluded from board","","~"
"J7","1","+12V IN","","","","customlib:SHDR2W66P0X254_1X2_508X572X1041P","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F640456%7FW3%7Fpdf%7FEnglish%7FENG_CD_640456_W3.pdf%7F640456-2"
"L1","1","3.3u, 3A","","","","customlib:INDPM4740X210N","https://tracopower.com/tck-108-datasheet/"
"PS1","1","TMR_9-1223","","","","customlib:TMR92411","https://tracopower.com/tmr9-datasheet/"
"Q1,Q2","2","2N3904","","","","Package_TO_SOT_THT:TO-92_HandSolder","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1,R3,R6,R10,R11,R24","6","1M","","","","customlib:RESC2012X60N","~"
"R2,R8,R13,R14,R16,R21,R22,R26,R33,R34,R35,R38","12","100K","","","","customlib:RESC2012X60N","~"
"R4","1","220K","","","","customlib:RESC2012X60N","~"
"R5","1","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7,R15","2","2K2","","","","customlib:RESC2012X60N","~"
"R9,R36","2","1K","","","","customlib:RESC2012X60N","~"
"R12,R25","2","22K","","","","customlib:RESC2012X60N","~"
"R17,R18,R19,R20,R28,R29,R30,R31","8","R","","","","customlib:RESC2012X60N","~"
"R23","1","2k2","","","","customlib:RESC2012X60N","~"
"R27","1","10K","","","","customlib:RESC2012X60N","~"
"R32","1","R","DNP","","","customlib:RESC2012X60N","~"
"R37","1","1k","","","","customlib:RESC2012X60N","~"
"RV1","1","LFO Frequency","","Excluded from BOM","Excluded from board","","~"
"RV2","1","TUNE","","Excluded from BOM","Excluded from board","","~"
"RV3","1","MOD AMT","","Excluded from BOM","Excluded from board","","~"
"RV4","1","PULSE WIDTH","","Excluded from BOM","Excluded from board","","~"
"RV5","1","BLEND","","Excluded from BOM","Excluded from board","","~"
"RV6","1","OUT LVL","","Excluded from BOM","Excluded from board","","~"
"S1","1","MOD_SWITCH","","Excluded from BOM","Excluded from board","customlib:7211SYCQE","https://www.ckswitches.com/media/1394/7000toggle.pdf"
"S2","1","7211SYCQE","DNP","","Excluded from board","customlib:7211SYCQE","https://www.ckswitches.com/media/1394/7000toggle.pdf"
"TP1","1","LFO OUT","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP2","1","NOISE OUT","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP3","1","MOD","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP4","1","TUNE CV","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP5","1","VCO CV","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP6","1","OSC","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP7","1","PW BIAS","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"TP8","1","OUT (PRE VOL)","","","","TestPoint:TestPoint_Pad_D1.5mm","~"
"U1,U2","2","TL072","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U3,U4,U6","3","TL074","","","","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
"U5","1","DUAL_BJT_NPN","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"U7","1","NE5532","","","","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/ne5532.pdf"
"VR1","1","LED BRIGHTNESS","","","","Potentiometer_THT:Potentiometer_Vishay_T73XX_Horizontal","https://www.vishay.com/docs/51016/t73.pdf"
"VR2","1","NOISE","","Excluded from BOM","Excluded from board","customlib:T73YP103KT20","https://www.vishay.com/docs/51016/t73.pdf"
"VR3,VR6,VR9","3","100K A","DNP","","Excluded from board","Potentiometer_THT:PTN091V100115K1A","https://www.sameskydevices.com/product/resource/ptn09x.pdf"
"VR4","1","T73YP103KT20","DNP","","Excluded from board","customlib:T73YP103KT20","https://www.vishay.com/docs/51016/t73.pdf"
"VR5,VR7,VR8","3","100K B","DNP","","Excluded from board","Potentiometer_THT:PTN091V100115K1B","https://www.sameskydevices.com/product/resource/ptn09x.pdf"
